Date,Time,Type,Route Name,Distance (km),00:24:41,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
2016-10-02,16:36:05,Running,,13.43,01:12:20,05:23,11.14,945.9999995,184,141,,TomTom MySports Watch,2016-10-02-163605.gpx
2016-09-27,18:11:27,Running,,6.88,32:47:00,04:46,12.59,496,49,,,,2016-09-27-181127.gpx
2016-09-24,16:39:37,Running,,19.41,01:46:24,05:29,10.95,1344.999999,320,140,,TomTom MySports Watch,2016-09-24-163937.gpx
2016-09-22,18:52:22,Running,,6.96,37:14:00,05:21,11.22,493.9999997,63,135,,TomTom MySports Watch,2016-09-22-185222.gpx
2016-09-20,18:42:40,Running,,10.03,53:21:00,05:19,11.28,712.9999996,89,139,,TomTom MySports Watch,2016-09-20-184240.gpx
2016-09-15,18:38:53,Running,,10,47:55:00,04:47,12.52,673.9999996,91,150,,TomTom MySports Watch,2016-09-15-183853.gpx
2016-09-12,18:23:04,Running,,13.08,01:10:33,05:24,11.12,916.9999995,116,141,,TomTom MySports Watch,2016-09-12-182304.gpx
2016-09-10,17:13:51,Cycling,,13.11,32:47:00,02:30,23.99,328,163,136,,TomTom MySports Watch,2016-09-10-171351.gpx
2016-09-08,18:19:56,Running,,13.12,01:04:40,04:56,12.17,905.9999995,110,154,,TomTom MySports Watch,2016-09-08-181956.gpx
2016-09-04,17:08:28,Cycling,,13.64,40:43:00,02:59,20.09,342,184,134,,TomTom MySports Watch,2016-09-04-170828.gpx
2016-09-03,17:28:11,Running,,13.5,01:17:44,05:46,10.42,948.9999995,184,138,,TomTom MySports Watch,2016-09-03-172811.gpx
2016-08-31,18:33:50,Running,,13.06,01:04:09,04:55,12.22,898.9999995,107,152,,TomTom MySports Watch,2016-08-31-183350.gpx
2016-08-28,18:00:16,Running,,12.05,01:07:14,05:35,10.76,834.9999995,172,143,,TomTom MySports Watch,2016-08-28-180016.gpx
2016-08-27,17:08:38,Cycling,,24.67,01:08:53,02:48,21.49,623,307,134,,TomTom MySports Watch,2016-08-27-170838.gpx
2016-08-24,17:26:00,Running,,13.25,01:11:57,05:26,11.05,897.9999995,181,141,,TomTom MySports Watch,2016-08-24-172600.gpx
2016-08-22,18:14:48,Running,,10.06,51:20:00,05:06,11.76,716,58,,,,2016-08-22-181448.gpx
2016-08-20,15:43:49,Cycling,,31.48,01:29:50,02:51,21.03,740,553,138,,TomTom MySports Watch,2016-08-20-154349.gpx
2016-08-19,16:57:41,Running,,13.43,01:14:24,05:32,10.83,904.9999995,185,150,,TomTom MySports Watch,2016-08-19-165741.gpx
2016-08-17,17:17:09,Cycling,,21.82,01:22:34,03:47,15.86,533,316,122,,TomTom MySports Watch,2016-08-17-171709.gpx
2016-08-14,12:32:07,Running,,21.16,02:04:44,05:54,10.18,1469.999999,351,149,,TomTom MySports Watch,2016-08-14-123207.gpx
2016-08-01,17:40:40,Running,,14.32,01:20:36,05:38,10.66,997.9999994,213,151,,TomTom MySports Watch,2016-08-01-174040.gpx
2016-07-24,17:13:38,Running,,20.81,02:03:35,05:56,10.11,1435.999999,367,144,,TomTom MySports Watch,2016-07-24-171338.gpx
